What does ORG stand for?	NNP	ORG
What does GPE mean?	NNP	GPE
What year did ORG begin?	NNP	ORG
Who is the CEO of ORG?	NNP	ORG
What is the largest forest in the GPE? 	NNPS	GPE
What is the largest forest in GPE?	NNP	GPE
When did Person live?	NNPS	PERSON
When did PERSON live?	NNP	PERSON
What is PERSON 's real name?	NNP	PERSON
What does GPE stand for?	NNP	GPE
What is a person that lives in GPE called?	NN	GPE
What is a person that lives in GPE called?	NNP	GPE
What is the ISO code for GPE?	NNP	GPE
What is the ISO code for GPE?	NN	GPE
What is GPE?	NN	GPE
What is GPE?	NNP	GPE
How many oil refineries are there in GPE?	NNP	GPE
What are the ethnolinguistic groups in GPE?	NNP	GPE
What is the coldest temperature in GPE?	NNP	GPE
What is PERSON 's full name?	NNP	PERSON
What is the national animal of GPE?	NNP	GPE
What is the name of GPE 's soccer team?	NNP	GPE
What was PERSON‘s real name?	NNP	PERSON
What is the longest river of GPE?	NNP	GPE
Where did PERSON grow up?	NNP	PERSON
What is the major religion in GPE?	NNP	GPE
How long has PERSON been around?	NNP	PERSON
When is PERSON‘s birthday?	NNP	PERSON
What year was ORG founded?	NNP	ORG
Who is PERSON?	NNP	PERSON
When was PERSON born?	NNP	PERSON
What 's the capital of GPE?	NNP	GPE
Where can you get PRODUCT?	NNPS	PRODUCT
Where can you get PRODUCT?	NNS	PRODUCT
Where can you get PRODUCT?	NNP	PRODUCT
Where can you get PRODUCT?	NN	PRODUCT
Who makes PRODUCT?	NNS	PRODUCT
Who makes PRODUCT?	NNPS	PRODUCT
Who makes PRODUCT?	NNP	PRODUCT
Who makes PRODUCT?	NN	PRODUCT
What is the oldest PRODUCT?	NN	PRODUCT
What is the oldest PRODUCT?	NNP	PRODUCT
Where did PERSON come from?	NNP	PERSON
What does ORG stand for?	NN	ORG
What in the world is ORG?	NNP	ORG
What is the largest city in LOC?	NNP	LOC
What does ORG stand for?	NNP	ORG
What is PERSON 's address?	NNP	PERSON
What is the capital city of GPE?	NN	GPE
Who is in charge of ORG?	NNP	ORG
Who are PERSON‘s parents?	NNP	PERSON
What language do people in GPE speak?	NNP	GPE
What ethnicity is PERSON?	NNP	PERSON
Where did PERSON grow up?	NNP	PERSON
What is the meaning of ORG?	NNP	ORG
What nationality is PERSON?	NNP	PERSON
Who is ORG‘s founder?	VBG	ORG
What 's PERSON 's real name?	NNP	PERSON
When was GPE founded?	NNP	GPE
Where did PERSON live?	NNP	PERSON
What continent is GPE on?	NNP	GPE
What is GPE?	NNP	GPE
What is GPE?	NN	GPE
Where was PERSON born?	NNP	PERSON
What is the capital in GPE?	NNP	GPE
Where did PERSON go to school?	NNP	PERSON
What country did PERSON hail from?	NNP	PERSON
What does NORP mean?	NNP	NORP
What college did PERSON go to?	NNP	PERSON
What is the FAC made out of?	NNP	FAC
What s the capital city of GPE?	NNP	GPE
Who is the inventor of the FAC?	NNP	FAC
What is the capital of GPE?	NN	GPE
What is the capital city of GPE?	NNP	GPE
What does PERSON mean?	NNP	PERSON
How many people live in LOC?	NNP	LOC
How strong is PERSON?	NNP	PERSON
Where was PERSON born?	NNP	PERSON
When were PRODUCT invented?	NNPS	PRODUCT
When were PRODUCT invented?	NNS	PRODUCT
When was PRODUCT invented?	NN	PRODUCT
