,Q,TAG
0,What are NNS_ARTIFACT called ?,NNS_ARTIFACT
1,When did NNP_PERSON live ?,NNP_PERSON
2,How old is NNP_GROUP ?,NNP_GROUP
5,What does NNP_ARTIFACT mean ?,NNP_ARTIFACT
6,What does NNP_GROUP stand for ?,NNP_GROUP
13,What does NNP_COMMUNICATION stand for ?,NNP_COMMUNICATION
17,What is JJ_COMMUNICATION ?,JJ_COMMUNICATION
23,What is this NN_COMMUNICATION called ?,NN_COMMUNICATION
34,What NN_BODY is most common ?,NN_BODY
36,Which means the same as NN_ATTRIBUTE ?,NN_ATTRIBUTE
38,Where did NNP_PERSON live ?,NNP_PERSON
39,When was NNP_GROUP ?,NNP_GROUP
43,What do NNS_FOOD grow on ?,NNS_FOOD
44,What is a NN_FOOD ?,NN_FOOD
46,Who 's the NNP_GROUP ?,NNP_GROUP
47,What is the NNP_GROUP all about ?,NNP_GROUP
48,How did NNP_PERSON die ?,NNP_PERSON
49,Where are NNS_PERSON from ?,NNS_PERSON
52,Who is NNP_GROUP‘s dad ?,NNP_GROUP
53,Who is NNP_GROUP‘s father ?,NNP_GROUP
55,What is that NN_COGNITION ?,NN_COGNITION
60,Who founded NN_ATTRIBUTE ?,NN_ATTRIBUTE
62,What does NNP_ANIMAL stand for ?,NNP_ANIMAL
63,When did NN_ACT open ?,NN_ACT
72,Which is the longest NN_ARTIFACT in the world ?,NN_ARTIFACT
76,What is this NN_RELATION ?,NN_RELATION
77,What was this NN_EVENT called ?,NN_EVENT
83,how long is the NN_ACT ?,NN_ACT
84,What does NNP_RELATION stand for ?,NNP_RELATION
85,What does NNP_COMMUNICATION stand for ?,NNP_COMMUNICATION
87,when did NNP_GROUP start ?,NNP_GROUP
96,what is the NN_COGNITION from ?,NN_COGNITION
99,Who was the first NNP_LOCATION President ?,NNP_LOCATION
103,what does NNP_PERSON mean ?,NNP_PERSON
105,When did NNP_PERSON come out ?,NNP_PERSON
110,Usual NNP_GROUP size ?,NNP_GROUP
114,When were NN_ARTIFACT invented ?,NN_ARTIFACT
118,What is a NNP_PERSON ?,NNP_PERSON
121,what did the NNS_LOCATION in ?,NNS_LOCATION
122,How do you pronounce NNP_GROUP ?,NNP_GROUP
125,Where was NNP_GROUP born ?,NNP_GROUP
127,when did NN_RELATION die ?,NN_RELATION
134,What is the scientific classification of a NN_ANIMAL ?,NN_ANIMAL
135,how large is a standard NN_ARTIFACT ?,NN_ARTIFACT
136,who 's NN_COMMUNICATION is this ?,NN_COMMUNICATION
143,who invented the NN_LOCATION ?,NN_LOCATION
147,When was NNP_PERSON born ?,NNP_PERSON
150,What do you call this NN_GROUP ?,NN_GROUP
151,How do you say NNS_PERSON in spanish ?,NNS_PERSON
152,when did NNP_GROUP started ?,NNP_GROUP
154,When was NNP_GROUP Born ?,NNP_GROUP
155,Is NNP_ANIMAL Still Alive ?,NNP_ANIMAL
158,What does NNP_ANIMAL stand for ?,NNP_ANIMAL
160,When did the NN_FOOD open ?,NN_FOOD
164,which one is a NNP_COGNITION ?,NNP_COGNITION
167,It has a JJ_COGNITION ?,JJ_COGNITION
170,What are NN_PERSON ?,NN_PERSON
175,NNP_GROUP ?,NNP_GROUP
179,What NN_FOOD is this from ?,NN_FOOD
182,when did NNP_GROUP die ?,NNP_GROUP
183,NNP_PERSON where did he live ?,NNP_PERSON
190,What in the world is NNP_GROUP ?,NNP_GROUP
193,How Many NNP_GROUP are There ?,NNP_GROUP
195,How did NNP_PERSON die ?,NNP_PERSON
198,How often do we have a JJ_EVENT ?,JJ_EVENT
199,who made the NN_ARTIFACT ?,NN_ARTIFACT
201,When did NNP_GROUP die ?,NNP_GROUP
204,Who is NNP_GROUP ?,NNP_GROUP
207,What 's the thing below the NN_BODY called ?,NN_BODY
210,What 's NNP_GROUP ?,NNP_GROUP
215,who invented NN_ARTIFACT ?,NN_ARTIFACT
228,what was the first NN_COGNITION ?,NN_COGNITION
245,what is the fastest roller coaster in NNP_LOCATION ?,NNP_LOCATION
246,What was NNP_PERSON famous for ?,NNP_PERSON
248,who wrote NNP_GROUP ?,NNP_GROUP
251,who invented NN_ARTIFACT ?,NN_ARTIFACT
253,What does NNP_ARTIFACT stand for ?,NNP_ARTIFACT
254,Who Invented The NNP_COMMUNICATION ?,NNP_COMMUNICATION
256,Who `` owns '' the NNP_GROUP ?,NNP_GROUP
263,When was NNP_PERSON found ?,NNP_PERSON
268,where is the NN_GROUP situated ?,NN_GROUP
269,Who is in charge of NN_COGNITION ?,NN_COGNITION
271,what is the plural for NN_ANIMAL ?,NN_ANIMAL
272,when did VB_RELATION ?,VB_RELATION
273,who discovered NN_COGNITION ?,NN_COGNITION
274,what is the heaviest NN_ACT . ?,NN_ACT
276,Who invented the NNP_GROUP programme ?,NNP_GROUP
277,when did the NN_FOOD come out ?,NN_FOOD
280,who is NNP_COMMUNICATION founder ?,NNP_COMMUNICATION
285,What is the typical NN_ARTIFACT size ?,NN_ARTIFACT
286,When is NNP_GROUP‘s Birthday ?,NNP_GROUP
287,what does the NN_PERSON do ?,NN_PERSON
289,What Is The NNP_GROUP ?,NNP_GROUP
291,What is NNP_FOOD for ?,NNP_FOOD
292,Where does NNP_PERSON live ?,NNP_PERSON
293,What is a NN_PERSON ?,NN_PERSON
300,What awards did NNP_PERSON win ?,NNP_PERSON
304,what is a `` NN_COMMUNICATION '' ?,NN_COMMUNICATION
305,What do we call this NN_PERSON ' ?,NN_PERSON
307,who invented the first NN_ARTIFACT ?,NN_ARTIFACT
309,How did NNP_PERSON die ?,NNP_PERSON
311,who is the fasted NN_PERSON ?,NN_PERSON
315,Who invented NN_COMMUNICATION ?,NN_COMMUNICATION
317,How long has NNP_PERSON been around ?,NNP_PERSON
320,Which is the most ancient NN_LOCATION in the world ?,NN_LOCATION
321,What NN_COMMUNICATION is this ?,NN_COMMUNICATION
326,Do you know when NNP_GROUP is suppose to start ?,NNP_GROUP
327,what is NNP_LOCATION for ?,NNP_LOCATION
332,What does this NN_COGNITION ?,NN_COGNITION
