What is boogeymans real SS_COMMUNICATION ?	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
who was the SS_PERSON of SS_PERSON rex ?	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No
What are Mexican SS_ARTIFACT called ?	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
Whats is called when you just had a SS_COGNITION , and feel like your SS_BODY id SS_COGNITION is or being held down ?	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
When did SS_PERSON Khan live ?	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No
what is the plural SS_COGNITION of SS_FOOD ?	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No
Which was first SS_ARTIFACT football or SS_GROUP football SS_QUANTITY soccer , ?	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	No	No
What 's another SS_COMMUNICATION for SS_POSSESSION ?	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No
what are SS_COGNITION of leguminous SS_ARTIFACT ?	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
A recent SS_ACT to explain the SS_LOCATION of SS_TIME is called the SS_FOOD SS_COGNITION ?	Yes	No	No	No	No	Yes	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No	No	Yes
whose SS_COGNITION ended the medieval SS_GROUP SS_TIME ?	No	No	No	No	No	Yes	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes
What is the SS_GROUP called where SS_PERSON read SS_COMMUNICATION and decide if they are to be made into SS_ARTIFACT ?	No	No	Yes	No	No	No	Yes	No	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No
What is the SS_ACT between two adjacent SS_ARTIFACT in terms of the SS_COGNITION SS_RELATION of a standing wave on the SS_ARTIFACT ?	Yes	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No
Who was the redhead SS_PERSON on SS_TIME last SS_TIME ( 3/26/09 ) ( the one that cut the SS_ARTIFACT SS_ACT ) ?	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	Yes
Is SS_GROUP Simpson 14 or 16 years old ?	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
Who was the first SS_PERSON SS_PERSON minister in SS_LOCATION ?	No	No	No	No	No	No	No	No	No	No	No	Yes	No	Yes	No	No	No	No	No	No	No	No
Who is the blonde SS_PERSON in all the SS_GROUP McBeal SS_COGNITION ( first SS_EVENT ) ?	No	No	No	No	No	Yes	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	No	No	No
What SS_GROUP invented SS_ACT SS_QUANTITY ice cream ?	Yes	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	Yes	No	No	No	No
who died first , SS_ATTRIBUTE or notorious big ?	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
What SS_TIME did the SS_GROUP SS_GROUP ?	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	Yes
what does an upside down triangle SS_COGNITION ?	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
What does a SS_ARTIFACT job SS_ACT ?	Yes	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No
SS_COGNITION of SS_COGNITION for making artificial SS_PHENOMENON ?	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No
Who wrote the SS_COMMUNICATION `` SS_COMMUNICATION to the SS_TIME '' ?	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes
What is the SS_POSSESSION SS_LOCATION of SS_LOCATION ?	No	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	Yes	No	No	No	No	No	No
What is the English translation of SS_GROUP Snake 's two SS_ARTIFACT ?	No	No	Yes	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No	No	No	No	No	No
SS_GROUP below ear directly behind SS_LOCATION ?	No	No	No	No	No	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No	No	No	No
